Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Oauth2 Token Request,100,16,16,20,21,25,13,28,0.00%,14.2,16.4
Transaction Controller,20100,366,363,399,416,501,13,1125,0.00%,4.2,21.7
BeanShell Sampler,20000,0,0,1,1,1,0,53,0.00%,4.2,.0
Accounting Internal - User,20000,4,4,5,6,7,2,264,0.00%,4.2,6.6
Accounting Internal - Get Balance,40000,6,6,8,9,10,4,238,0.00%,8.3,3.8
Accounting Internal - Deposit,20000,39,38,47,50,64,30,609,0.00%,4.2,1.9
Accounting Internal - Casino Bet,100000,62,60,74,79,96,48,396,0.00%,20.8,9.6
TOTAL,220200,66,53,87,360,396,0,1125,0.00%,45.7,43.5
